GENE_SYMBOL	ID_REF	GSM32828	GSM32829
Clta	100580_at	3011	2208.6
Cstb	100581_at	13141.9	13194.3
Snx17	100582_at	2722.9	2702.3
Anxa4	100584_at	5076	5592.8
5730403B10Rik	100587_f_at	476.9	289.9
Psme2	100588_at	6262	7665.6
Ghitm	100592_at	8718.5	4783.3
Tnnt2	100593_at	404.1	368.1
Pigq	100594_at	1088.4	1115.3
Ptp4a2	100595_at	2126.5	2655.7
Gyg	100597_at	122.9	203.7
Atf4	100599_at	9031.1	13009.2
Cd24a	100600_at	11851.5	5973
Itgb5	100601_at	5060.8	7860.9
Rps15	100602_at	116.1	120.6
Dync1i2	100603_at	1102.9	991.9
Tpm2	100605_at	160.2	149.3
Prnp	100606_at	6431.3	6865.9
Pld3	100607_at	578.2	205.9
Sptlc1	100608_at	2650.2	2024.2
Capns1	100610_at	5634.7	6520.6
Lyz2	100611_at	116.7	33.7
Rrm1	100612_at	3782.3	6124.6
Fkbp8	100613_at	2613.3	2833.7
Cenpa	100616_at	2170.2	1762.5
Slc25a5	100617_at	5866.5	8247.6
Slc25a5	100618_f_at	4761.8	9221
Slc25a5	100619_r_at	514.1	465.9
Rnh1	100621_at	4561.4	5050.3
Prdx6	100622_at	4057	3486.6
Clca3	100623_at	42	73
Odf2	100626_at	143.5	93.5
Ndufc1	100628_at	3477.5	3849.2
Gstm5	100629_at	403.1	588.4
Gstm5	100630_f_at	2978	2999.8
Prkag1	100632_at	1326.9	1876
Mosc2	100633_at	2966	4518.5
Sar1a	100635_at	7156.3	9804.6
Eif4ebp1	100636_at	2603.4	2528.2
Myo5a	100672_at	231.1	138.4
Klra5	100673_f_at	24.6	33.5
Klra6	100674_f_at	2.9	74.6
Gabrr1	100675_at	47.7	43.7
Synj2	100676_at	15.4	39.2
Dub1	100680_at	48.2	123.9
Gm16939	100683_r_at	1883.4	681
Prkcsh	100684_at	3675.2	4161.5
Krt1	100685_at	632.6	956.7
Rps2	100686_at	43329.6	54710.4
Vmn2r37	100687_f_at	19.3	54.8
Th	100690_at	351.3	188.5
Gabrg3	100693_at	142	152.6
Rplp1	100694_at	39295.7	43826.5
Pde6a	100696_at	139.3	233.2
Pax3	100697_at	388.6	317.9
Nr5a1	100700_s_at	156.9	269.8
Nr5a1	100701_r_at	29.5	325.4
Shbg	100702_at	313.3	401.9
Npy2r	100703_at	95.7	115.9
Sfmbt2	100706_f_at	2791.8	1299.1
Sh3rf1	100707_at	88.6	27.6
H3f3b	100708_at	18047	18546.8
Vcp	100710_at	11103	10234.1
Rpl10a	100711_at	18719.1	23444.4
Npas1	100712_at	222.2	102.9
Zfp617	100713_at	467.9	573.5
Has1	100716_at	178.1	103.7
U90926	100717_at	976.2	856.1
Ptma	100718_at	14120.3	12021.9
Pabpc1	100720_at	32881.5	35471.1
Sprr2e	100723_f_at	1039.3	507.9
Zfp28	100724_at	122.9	311.3
Nqo1	100725_at	45.1	12
Rpl28	100727_at	25844.8	35837.2
Mpdz	100728_at	301.2	200.4
Gm15772	100729_at	29865	32656.5
Psma2	100733_at	12741.4	15410.8
Rpl3	100734_at	21172.4	27121
Onecut1	100737_at	81.2	10.8
AA409749	100742_at	142.4	143.6
Ino80c	100743_at	706.7	603.7
Psg19	100745_r_at	12.1	26.2
100746_at	305.6	43.5
AA408954	100747_at	47.3	54.2
Zbtb37	100749_at	310.9	277.6
AA414903	100750_at	168.8	217.4
Adam10	100751_at	2034.2	919.9
Atp5a1	100753_at	11339.3	13068.5
Elane	100755_at	173.3	52.1
Cacnb2	100757_at	115.5	43.4
Rps28	100758_at	35810.9	49025.6
Mrc2	100759_at	685.8	407.1
Dsc1	100760_at	86.8	120.7
Strn	100761_at	192.5	170.2
D2Ertd127e	100763_at	164.5	207.7
Il2rb	100764_at	270.7	89.1
100769_at	1.1	67.3
Blnk	100771_at	109.7	360.1
Blnk	100772_g_at	232.4	282.8
Synj2bp	100774_at	197.9	122.8
100775_at	373.2	511.1
Zfp799	100776_at	16.1	104.8
Cd38	100778_at	60.6	224.3
Rps4x	100780_at	34400.8	39466.6
Myl4	100828_at	285.5	134.9
Fez1	100876_at	74.4	147.1
1810058I24Rik	100877_at	3336.6	3770.4
Strn3	100878_at	2041.3	1630.8
Gbp6	100880_at	774.6	439.6
Defb1	100882_at	28.9	68.1
Akr1b8	100884_at	4396.8	4881.9
Nek2	100885_at	1444.3	1809
Mrpl45	100886_f_at	1195.4	1127.1
Smc6	100887_at	1081.2	1032.8
Samd4b	100889_at	1161.6	1089.9
Chaf1b	100890_at	851.7	1275.7
Smcp	100891_at	42.8	115.1
Ndufaf1	100892_at	731.5	614.3
Sptlc2	100893_at	1930.6	2277.6
Orc5	100894_at	412.4	525.6
Lsg1	100895_at	683.5	737.2
Zbtb22	100897_f_at	693.1	410.8
Zbtb22	100899_s_at	1607.9	1977
Hcfc1	100900_at	1587.9	1416.9
Parp2	100903_at	979.6	1336.3
Mett11d1	100904_at	423.7	918.9
Herc4	100905_at	482.5	358.3
Itgb7	100906_at	3310.5	1225.8
