"","GSM144202","GSM144203","GSM144204","GSM144205","GSM144206"
"CDC14A:205288_at",7.21529030565123,7.73335434061383,7.36457243229586,6.47411151394241,7.04220656012069
"BMP2:205289_at",7.40854204229686,5.93073733756289,7.4093909361377,5.57893871309339,5.24031432933371
"BMP2:205290_s_at",7.31197531446116,7.70043971814109,7.13031314554346,8.10328780841202,7.4667902378031
"IL2RB:205291_at",9.54920708935568,9.6006563078263,9.51293794347466,10.3847837500934,9.71424551766612
"HNRNPA2B1:205292_s_at",14.9664513768653,15.1584282354985,14.8760468430067,14.9726432974255,14.7938217289655
"BAIAP2:205293_x_at",9.36128586004707,9.83652380965103,9.41658643754191,9.91856512898944,10.0588035177956
"BAIAP2:205294_at",10.9796395471692,11.2735625117203,11.0345926520627,10.9394322928786,10.9845608698413
"CKMT2:205295_at",7.93251005337989,8.2635039567056,8.81794296832513,7.99717948093762,8.24935052362723
"RBL1:205296_at",8.45820152473794,8.34784279363816,9.02541644454419,7.63299519714296,7.45368218587218
"CD79B:205297_s_at",5.08746284125034,3.95419631038688,4.17791779219584,6.18189764310839,4.87282875953489
"BTN2A2:205298_s_at",10.5218948372436,10.6850115420955,10.7372473430277,10.6725137396947,11.0008450815672
"BTN2A2:205299_s_at",8.10643207781693,7.7488637145357,8.67101024127845,8.24555270625568,7.71561885907482
"SNRNP35:205300_s_at",10.124379836163,10.0959244199985,9.46188866443282,9.57553924683453,9.20408201217437
"OGG1:205301_s_at",8.00450139223494,6.82145511910246,8.1333991254172,7.60139939053183,8.05690861832325
"IGFBP1:205302_at",6.13545278418517,6.35402893805439,6.27426166125705,2.63226821549951,3.6667565918848
"KCNJ8:205303_at",8.09908476089186,8.53099149023663,6.13750352374993,7.05961485629722,8.98584193700334
"KCNJ8:205304_s_at",5.44625622988956,5.05311133645956,5.31469652565629,5.43295940727611,5.51412226017071
"FGL1:205305_at",9.01374139205874,8.90147031982427,8.93280529435931,9.19893608810138,9.13185696060879
"KMO:205306_x_at",8.75087443965685,8.06339508128851,7.7176764230664,8.41996017784789,8.74011804283313
"KMO:205307_s_at",8.61618123133188,7.64169052255661,7.61911951145322,7.95361446119936,7.09697863637054
"ZC2HC1A:205308_at",9.81185631429254,9.89254281664855,9.27937843123448,9.13519623665344,9.21819994369474
"SMPDL3B:205309_at",6.78528898070402,8.72655877910498,6.76686014382955,8.9242186797485,8.81474266745448
"FBXO46:205310_at",10.4147909238803,10.7137301774067,10.3278894207332,10.7771731080042,10.6980969054827
"DDC:205311_at",5.66391384211598,5.29645740737124,6.26491169307446,6.57440430902258,6.89360490485829
"SPI1:205312_at",5.12101540096137,4.39917109381982,5.46923479366766,5.00898878322726,4.34340782229781
"HNF1B:205313_at",10.072936483297,9.81826260830447,9.96491840784853,10.4224853156703,9.75070698622495
"SNTB2:205314_x_at",3.93545974780529,4.32192809488736,4.37851162325373,4.50462039240355,3.0703893278914
"SNTB2:205315_s_at",10.2542019119738,9.85455675240453,10.4241662888181,10.2627995730766,9.98967832731779
"SLC15A2:205316_at",8.10904707770071,7.3110671022556,8.3228294976289,7.76619759730084,7.762880292917
"SLC15A2:205317_s_at",8.16339809435316,7.15886210620845,7.55228483994351,8.14108531856233,7.28540221886225
"KIF5A:205318_at",9.78381675932018,9.12101540096137,9.39981195932569,8.9614496943982,9.33806779754262
