GENE_SYMBOL	ID_REF	VALUE	ABS_CALL
Fam102a	99451_at	445.5	P
Mybbp1a	98341_f_at	298.3	A
Cyp27b1	99836_at	37.7	A
Ighg	102844_at	-122.8	A
Huwe1	96664_at	1537.7	P
Gm10879	94725_f_at	572.2	A
Wnt1	94134_at	269.7	P
Sh3bgr	161935_r_at	27.2	A
Rps28	100758_at	35810.9	P
Nmt1	102047_at	6539.1	P
Tekt1	99545_at	10.3	A
Uhmk1	160778_at	87.2	A
Setdb1	102771_at	1091.4	P
Polr2d	97315_at	741.3	P
Pfdn5	101513_at	481.9	P
Vmn2r89	101645_f_at	-160.8	A
Macrod2	162162_f_at	9.1	A
Fam32a	97864_at	1503	P
Clcn3	94464_at	265.7	P
Acads	161469_r_at	277.7	A
Pttg1ip	94473_at	5690.5	P
Pmpca	96848_at	103.4	A
Serinc1	95101_at	4866.4	P
Pptc7	99503_at	2125.8	P
Gna13	100514_at	1251.4	P
Gml	102948_at	-18.7	A
Tubb5	94788_f_at	17765	P
Sumo1	101091_at	4809.2	P
Fgr	94697_at	277.2	A
Mettl3	160929_at	307	A
Ywhab	98053_at	4019.7	P
Akap1	97369_g_at	727.9	P
Ppm1a	98580_at	1172.3	P
Cnpy2	100039_at	3183.7	P
Txndc5	98918_at	3709.9	P
Hnrnpd	94303_at	2997.9	P
Aplf	92318_at	98.2	A
Elavl4	92361_at	-118.4	A
D17H6S56E-3	101277_at	641.8	A
Ddx51	161060_i_at	268.7	P
Asnsd1	161389_f_at	264.2	P
Wwtr1	95627_at	3812	P
Nfkbiz	161903_f_at	93.2	A
Hif1a	98628_f_at	11179	P
Mina	102340_at	268.5	P
Gm15772	100729_at	29865	P
Rgl2	99953_at	592.6	P
Hsd3b1	161261_f_at	-9.8	A
Shkbp1	162238_r_at	235.9	A
Aurkaip1	94518_at	2643.4	P
Tdg	101540_at	1423.1	P
S100a5	95301_at	338.4	A
Ndst1	93590_at	745.6	P
Pvrl3	161415_r_at	369.1	A
Timeless	100953_at	300.1	P
Sesn1	95731_at	853.5	P
Bcl3	102239_at	-543.3	A
S100a3	101051_at	1143.7	P
Klra5	100673_f_at	24.6	A
Clcc1	160418_at	29.6	A
D0H4S114	160522_at	216.9	A
Mapt	102742_g_at	-22.9	A
Cd27	102281_at	-111.7	A
Birc2	102734_at	395.2	P
Hnrnpc	160199_at	548.2	P
Mynn	95923_at	94.1	A
Rasa3	93319_at	3902.3	P
Klhl21	104293_at	2539.7	P
Ak4	99959_at	147.7	A
Sele	99333_at	-0.5	A
Sh3gl2	92673_at	-17.1	A
Mrps18a	104767_f_at	1012.4	P
Gpr83	92734_at	10.8	A
Dsc3	97655_at	-61.1	A
Dnajc3	161868_r_at	-6.5	A
Rps4x	162244_r_at	7.6	A
Vamp2	98925_at	70.2	A
Cdh4	95898_at	-1.2	A
Ubap2l	95964_at	10.3	A
Rab17	92329_at	103.7	A
Il16	102029_at	97.4	A
Ebf3	104492_at	145.6	A
Usp1	160234_at	1920.5	P
Psip1	97853_at	983.9	P
Zfp260	95801_s_at	450.6	P
Ube2b	93509_at	2180	P
Pyhin1	103615_at	7.4	A
Igfbpl1	92349_at	-5.5	A
Rbms1	96207_at	3212.7	P
Stab1	96886_at	64.9	A
Ccnt1	93712_at	853.4	P
Galnt6	96998_at	-59.5	A
Aanat	92511_at	-211.8	A
Bcl2l13	97284_at	1367	P
Amz2	161429_at	361.7	A
Cuedc2	99179_at	1523	P
Hivep1	92908_at	311	P
Chad	99913_at	454	A
Ss18	99610_at	1521.8	P
Ndst2	92400_at	220.5	A
2410002F23Rik	160727_at	1172.9	P
Slc25a4	93084_at	11012.2	P
Spt1	162108_f_at	-4.8	A
Dhrs4	96678_at	503.8	P
Syf2	96341_at	1136.7	P
Pou3f1	102652_at	-65.9	A
Nek1	161123_i_at	-14.9	A
Sub1	161508_at	-39.9	A
Zfp35	98032_at	578.1	P
Scamp1	160795_at	227.2	A
Wipi2	95139_at	1192.5	P
Icam2	99053_at	-7.2	A
Polg2	93699_at	186.4	A
Ltk	94791_s_at	952.4	A
Gyg	100597_at	122.9	A
Tmem30b	96749_f_at	-19.4	A
Grpr	98781_at	-9.6	A
2810422O20Rik	160999_r_at	475.4	P
Tmem147	160235_at	1149.6	P
Wars	98606_s_at	1977.4	P
Pik3cd	92390_at	-774.1	A
Hdac2	160643_at	1931.3	P
Nln	92230_at	227.7	P
Mos	96521_at	-235.7	A
Mat1a	92864_at	124.7	A
Ube2v2	160247_at	596.7	P
Fth1	94794_at	36711.1	P
Krt86	93556_at	-412.4	A
Zfp185	102275_at	-115	A
Prdx3	96256_at	2358.9	P
Tekt2	103684_at	-39.1	A
Rem1	93855_at	-44.3	A
Cfl1	99119_at	24704.6	P
Mag	161846_r_at	-2149.3	A
Wt1	161258_at	604.5	A
Aqp2	103612_at	-574.6	A
Nvl	101366_f_at	442.8	A
Galt	104615_at	-136	A
Ehd1	96930_at	401.1	A
R3hdm1	103712_at	923.2	P
Bst1	103759_at	-13.8	A
Tmem70	94829_at	2275.5	P
Vipr1	98777_at	578.1	A
Azgp1	96867_at	57.8	A
Mpp3	103247_at	160.8	A
Rbbp7	93081_at	9716.3	P
2010111I01Rik	162134_r_at	2297	P
Gm3452	96028_at	-344.6	A
Rps27	96301_at	967.3	P
Csf2	92948_at	-153.8	A
Mos	161867_f_at	49.1	A
Cyp26a1	98320_at	136.8	A
D1Ertd259e	101606_at	-640.8	A
Bmx	98840_at	-64	A
5730494N06Rik	97916_at	2655.1	P
Itgal	94764_at	476.9	A
Cachd1	93467_at	179.4	A
Mark3	98933_at	1792.8	P
G6pc	103333_at	428.6	A
Zfp61	102304_f_at	64.5	A
Igh-VJ558	101743_f_at	189.1	A
Ptrf	99901_at	886.7	P
Zfp30	104438_at	-5	A
Arl4a	96528_at	50.6	A
Gstm2	93009_at	4515.2	P
Wnt11	103490_at	-86.8	A
Col19a1	99842_at	92	A
Snx27	95980_at	250.9	A
Slc25a3	93506_at	302.8	A
Tmbim1	162213_i_at	90.6	A
Lsmd1	97271_at	1888.5	P
4922502D21Rik	160505_at	40.1	A
2700078E11Rik	104403_at	1342	P
Nos3	94167_at	-351.3	A
Ehd1	96929_at	120	A
Rngtt	94416_at	138.1	A
Pcna	101065_at	9371.3	P
Ccnc	99558_at	720.1	P
Galk1	97820_at	1772.8	P
Etf1	98608_at	3742.7	P
Dgcr2	100142_at	1126	P
Dtx2	96818_at	928.7	P
Mras	103653_at	94.4	A
Aimp2	160341_at	3046.3	P
Pkhd1	103984_at	-27.9	A
Grsf1	161191_i_at	8.3	A
C80913	161431_i_at	-110.9	A
Apln	100392_at	509.8	M
Lin9	103069_at	394.6	P
Ap3d1	96185_at	3429.6	P
Dusp19	98502_at	819.9	P
Mug-ps1	97680_at	-276.1	A
Epc1	103263_at	1164.8	P
Mas1	99439_at	684.8	P
Tbcb	97276_at	1377.5	P
Nppa	103593_at	960	A
Lap3	98112_r_at	137.4	A
H2-M3	102731_g_at	633	P
Mettl8	103359_at	646.6	P
Lect2	102938_at	-269.1	A
Ptplad1	93212_at	764.8	P
Apoa2	161924_f_at	-182.9	A
Rho	161871_f_at	127.1	A
Ngdn	93776_at	292.8	P
Obfc2a	95655_at	491.3	P
Galnt1	97934_at	1231.2	P
Map3k1	103022_at	-5.7	A
Gtpbp1	161683_r_at	871	P
A930001N09Rik	98855_r_at	365.7	P
Actr3	97904_at	8218.1	P
Rln1	98837_at	-40.3	A
Spock2	102095_f_at	50.1	A
Cox8a	92860_at	-66.4	A
Hspa5	101955_at	9483.6	P
Rbck1	94457_at	1877.4	P
Pacrgl	104447_r_at	308.9	P
Eif4g2	100535_at	1575	P
Tex2	100296_at	484.2	A
Rad17	103840_at	251	P
1700012B15Rik	95924_at	57.1	A
Rab33b	103062_at	129.1	A
Clk4	101937_s_at	1229	P
Epn2	102333_at	4349	P
Slc9a8	104101_at	883.7	P
Vps26a	96665_at	1993.5	P
Pdlim1	161348_r_at	952.6	P
Cyp2b9	101862_at	-32.3	A
Ap1b1	161249_at	191	A
Ndufc2	93359_at	122	A
Cd1d2	101896_at	36.9	A
Eif3e	101695_at	-171.4	A
Cyp3a25	104024_at	-51.3	A
Mapt	102743_at	652.1	A
Nos1	98365_at	-1.2	A
Ddhd1	160935_at	376.7	P
Calm1	96522_at	12499.4	P
Gsc	94187_at	-149.9	A
Dffb	100294_at	0.2	A
Dock9	104714_at	356.1	M
Bphl	161804_r_at	-71.7	A
Pdzd11	99156_at	1639	P
Snn	93846_at	16.3	A
P4hb	161926_r_at	55.1	A
Htra3	93480_at	-46.2	A
D2Wsu81e	162033_f_at	691.3	P
AI646383	95382_at	49.2	A
Eif4h	97278_at	-53.2	A
Adh1	94906_at	-83.8	A
Csad	99184_at	1947.2	P
Tab2	160309_at	2776.9	P
9130016M20Rik	99341_r_at	-5.7	A
Entpd4	93589_at	885.2	P
Srsf7	96302_at	1623.6	P
Dpep3	161065_at	-25.8	A
Bmp10	101815_at	107.9	A
Adh5	95765_at	2470.1	P
Usp4	99064_at	2462.2	P
Tmsb10	98129_at	25871.4	P
Fads1	160391_at	2894.1	P
Dda1	97404_at	1488.8	P
Recql5	97108_at	120.5	A
Tars	95054_at	3916.5	P
Cldn2	93934_at	-683.1	A
D2hgdh	160883_at	34.7	A
Cela2a	94037_at	353.2	A
Antxr2	104761_at	776.8	P
Slc25a36	160683_at	1203.2	P
Fam103a1	93059_at	2166.7	P
Hoxc4	102660_at	147.5	A
Lcor	94203_at	88.2	P
Cdk11b	95805_at	474.7	A
Myl3	93514_at	22.7	A
Fzd3	98348_at	111.5	A
Plcb3	101358_at	192.7	A
Has3	99394_at	167.2	A
Aes	160215_at	4371	P
Pgk1	93346_at	17725.6	P
Sepw1	99595_at	93	A
Capn10	97331_at	319	A
Klc1	97985_f_at	3278.9	P
Dnajb3	97481_r_at	326.8	A
Fbn2	103623_at	-65.2	A
Gnaz	100386_at	202.9	A
Zc3h14	97380_at	2244.8	P
AI450241	97610_f_at	148.6	A
Bmp1	95557_at	2268.9	P
Psmb3	94025_at	10606.3	P
Hnrnpul2	104296_at	382	P
Srpx	103568_at	-300.6	A
Rnf19a	100509_at	1675.4	P
Apobec2	97234_at	126.7	A
Sema5a	103766_at	4.7	A
Clock	92257_at	1419.5	P
Ppp2ca	92638_at	771.2	P
Rhag	102762_r_at	-14.6	A
Ost4	93807_at	7.7	A
Ldha	96072_at	31916.9	P
Abhd5	102052_at	4162.3	P
Commd6	96881_at	2891	P
Faf1	98987_at	460.2	A
Smad6	104220_at	1352.6	P
