"","GSM1387702","GSM1387703","GSM1387700","GSM1387701"
"CACNG5:1552602_at",2.9560566524124,2.48542682717024,2.95233356636969,2.114367024952
"LINC00308:1552604_at",NA,NA,NA,NA
"LINC00308:1552605_s_at",2.62760683812965,3.34908214639109,3.34766565630097,2.99638874644762
"FAM223A///FAM223B:1552607_at",NA,NA,NA,NA
"WFDC11:1552608_at",NA,NA,NA,NA
"IFNL3///IFNL2:1552609_s_at",NA,NA,NA,NA
"JAK1:1552610_a_at",NA,NA,NA,NA
"JAK1:1552611_a_at",NA,NA,NA,NA
"CDC42SE2:1552612_at",NA,NA,NA,NA
"CDC42SE2:1552613_s_at",NA,NA,NA,NA
"ACACB:1552615_at",NA,NA,NA,NA
"ACACB:1552616_a_at",NA,NA,NA,NA
"RFWD2:1552617_a_at",NA,NA,NA,NA
"STX6:1552618_at",NA,NA,NA,NA
"ANLN:1552619_a_at",NA,NA,NA,NA
"SPRR4:1552620_at",NA,NA,NA,NA
"UPK3BL///POLR2J3///POLR2J2///POLR2J:1552621_at",NA,NA,NA,NA
"UPK3BL///POLR2J3///LOC441259///POLR2J2///POLR2J:1552622_s_at",NA,NA,NA,NA
"HSH2D:1552623_at",NA,NA,NA,NA
"TRNT1:1552625_a_at",NA,NA,NA,NA
"TMEM163:1552626_a_at",NA,NA,NA,NA
"ARHGAP5:1552627_a_at",NA,NA,NA,NA
"HERPUD2:1552628_a_at",NA,NA,NA,NA
"JMJD6:1552629_a_at",NA,NA,NA,NA
"SRCAP:1552630_a_at",6.24849688595938,6.07788386443832,6.1554254317472,5.63546419816788
"MAP3K6:1552631_a_at",NA,NA,NA,NA
"ARSG:1552632_a_at",4.21878116778407,4.41006969175638,4.30961277245412,3.21412480535285
"ZNF101:1552633_at",NA,NA,NA,NA
"ZNF101:1552634_a_at",NA,NA,NA,NA
"PTPN11:1552637_at",0.0285691521967709,2.68706068833989,2.77610398807316,3.52105073690096
"KLHDC7B:1552639_at",3.47767732756531,2.07724299893246,3.62175885670973,2.85399564717639
"ATAD3B///ATAD3A:1552641_s_at",8.41502341039129,8.5127404628035,8.68880979143827,8.79561761155986
"ZNF626:1552643_at",NA,NA,NA,NA
"PHC3:1552644_a_at",NA,NA,NA,NA
"IL11RA:1552646_at",NA,NA,NA,NA
"TNFRSF10A:1552648_a_at",NA,NA,NA,NA
"RAD51L3-RFFL///RFFL:1552649_a_at",NA,NA,NA,NA
"RAD51L3-RFFL///RFFL:1552651_a_at",NA,NA,NA,NA
"HPS4:1552652_at",NA,NA,NA,NA
"UHMK1:1552656_s_at",NA,NA,NA,NA
"TXNDC2:1552657_a_at",NA,NA,NA,NA
"NAV3:1552658_a_at",NA,NA,NA,NA
"C5orf22:1552660_a_at",NA,NA,NA,NA
"PCDHGB7:1552661_at",NA,NA,NA,NA
"PCDHGB7:1552662_a_at",NA,NA,NA,NA
"ERC1:1552663_a_at",5.41142624572647,5.601993581249,5.88508622529017,5.5453506448223
"FLCN:1552664_at",NA,NA,NA,NA
"JMJD1C-AS1:1552665_at",NA,NA,NA,NA
"LRRC7:1552666_a_at",1.48542682717024,1.85598969730848,1.77399632511117,3.46597446450407
