"","GSM6207","GSM6208","GSM6209","GSM6210","GSM6211","GSM6212","GSM6213","GSM6214","GSM6215","GSM6216","GSM6217","GSM6218"
"Eif2ak1:AA686743_at",8.00225245173138,7.62351574149055,7.95011842950258,7.56147889150101,8.24222139509837,7.88325423134128,7.92243574023315,6.63226821549951,7.66604642940879,6.89117612475454,7.76354436429392,7.7515440590891
"Ndufa4l2:AA686870_f_at",6.4110872267986,NA,-0.15200309344505,NA,NA,NA,5.85049941375812,NA,NA,NA,5.60584986719498,NA
"Ndufa4l2:AA686870_i_at",5.56071495447448,5.3110671022556,6.52825874275841,4.62058641045188,6.37503943134692,6.16188768237689,7.04111153536915,7.02680005934372,7.2364926183813,6.77873424411784,3.33628338786443,6.09592441999854
"Atp2a2:AA799276_at",8.66604642940879,8.25833047261242,8.16188768237689,7.85112436288675,8.51648798090998,8.59618975614441,8.08799314636232,9.80558266816901,7.2240016741981,7.99774402605963,NA,7.7045953476324
"LOC683884///Ndufab1:AA799336_at",12.3900614488384,12.808441364607,12.4773282266259,12.2696234699358,11.8546736218639,12.1232807876594,11.609963601937,12.5681698977671,12.8305350131978,12.9970736041289,12.7403921490933,12.462860090208
"Rab3b:AA799389_at",NA,4.12101540096137,5.33985000288462,6.50143914515887,7.86789646399265,8.37199439319365,8.37068740680722,NA,4.90207357931074,NA,1.84799690655495,NA
"Rab3b:AA799389_g_at",7.58270652678079,8.3371758685863,8.03507399737762,8.29920801838728,9.97770923314179,10.5632916223401,10.3502762290767,NA,6.56529252058102,9.26138977325015,8.08746284125034,7.70942850136835
"Pafah1b1:AA801441_at",11.7489056332387,11.6419162646342,11.3330435091508,11.0332853332287,11.1970938007346,10.8961053091684,10.7864330040193,11.624110035763,11.7215264640075,11.6314044487285,11.2900188469326,11.3407402806302
":AA819943_at",NA,NA,NA,NA,NA,NA,NA,NA,2.48542682717024,NA,NA,NA
"Top1:AA848218_at",11.1430004854982,10.2158969643545,9.96260685912106,10.3187687426827,10.4176415791386,9.63970246769146,9.8376279331714,10.507596454191,10.2423405030481,10.733778002274,10.3819754785573,10.2364926183813
"Dnaja4:AA848268_at",9.33806779754262,9.33561366481602,9.30606168942834,10.0914353863236,9.09566074549522,8.91199111369962,8.75788999032499,8.60362634498619,9.18883607303053,9.38499954473004,9.40981519582048,9.95070169008901
